X,Y,id,state_code_2021,state_name_2021,lga_code_2024,lga_name_2024,erp_2001,erp_2002,erp_2003,erp_2004,erp_2005,erp_2006,erp_2007,erp_2008,erp_2009,erp_2010,erp_2011,erp_2012,erp_2013,erp_2014,erp_2015,erp_2016,erp_2017,erp_2018,erp_2019,erp_2020,erp_2021,erp_2022,erp_2023,erp_2024,erp_change_number_2023_24,erp_change_per_cent_2023_24,area_km2,pop_density_2024_people_per_km2,births_2021_22,deaths_2021_22,natural_increase_2021_22,internal_arrivals_2021_22,internal_departures_2021_22,net_internal_migration_2021_22,overseas_arrivals_2021_22,overseas_departures_2021_22,net_overseas_migration_2021_22,births_2022_23,deaths_2022_23,natural_increase_2022_23,internal_arrivals_2022_23,internal_departures_2022_23,net_internal_migration_2022_23,overseas_arrivals_2022_23,overseas_departures_2022_23,net_overseas_migration_2022_23,births_2023_24,deaths_2023_24,natural_increase_2023_24,internal_arrivals_2023_24,internal_departures_2023_24,net_internal_migration_2023_24,overseas_arrivals_2023_24,overseas_departures_2023_24,net_overseas_migration_2023_24,green_space_by_LGA_Green_space_ha,pop_density,Green_Pct
0,0,"24","1",New South Wales,"11570",Canterbury-Bankstown,"307592","307011","306316","305670","307118","310578","316155","322404","327793","332118","335940","340387","345692","350922","356328","361862","367534","371891","375333","376638","372459","372119","379733","385242","5509","1.4508","110.2374","3494.658","5126","2548","2578","19510","26522","-7012","7688","3594","4094","4680","2320","2360","14817","19492","-4675","12767","2838","9929","4698","2164","2534","15251","20140","-4889","10968","3104","7864",,"3494.65789287483",
0,0,"25","1",New South Wales,"11600",Carrathool,"3290","3246","3143","3054","2947","2863","2827","2784","2778","2732","2681","2668","2797","2800","2766","2793","2825","2864","2863","2892","2873","2829","2764","2767","3","0.1085","18934.4853","0.1461","43","15","28","194","277","-83","22","11","11","34","30","4","124","215","-91","31","9","22","35","25","10","155","180","-25","27","9","18",,"0.146135474831207",
0,0,"26","1",New South Wales,"11650",Central Coast (NSW),"294596","297530","299319","299999","301403","303051","306499","312338","316796","320361","322657","325163","327745","330377","333264","336611","340140","343074","345695","347734","348493","349158","351900","354803","2903","0.825","1681.0059","211.0659","4206","3470","736","19032","20371","-1339","2384","1116","1268","3701","3602","99","14474","14859","-385","3899","871","3028","3574","3479","95","14653","14375","278","3486","956","2530",,"211.065886205396",
0,0,"27","1",New South Wales,"11700",Central Darling,"2432","2326","2218","2163","2096","2000","2003","2003","2029","2045","2059","2015","1979","1934","1923","1881","1845","1809","1799","1774","1758","1749","1756","1767","11","0.6264","53492.193","0.033","21","13","8","169","191","-22","9","4","5","23","12","11","153","168","-15","15","4","11","23","19","4","163","163","0","11","4","7",,"0.033032857710657",
0,0,"28","1",New South Wales,"11720",Cessnock,"46823","47024","47181","47266","47305","47426","48302","49303","50218","51304","52485","53318","54303","55103","55888","56720","57921","59649","60823","62431","64120","65875","67579","69352","1773","2.6236","1965.1593","35.2908","931","559","372","6357","5073","1284","187","88","99","898","543","355","5358","4191","1167","251","69","182","940","487","453","5481","4305","1176","219","75","144",,"35.2907776992939",
0,0,"29","1",New South Wales,"11730",Clarence Valley,"48247","48415","48509","48631","48853","49149","49524","49818","50433","50993","51287","51350","51443","51498","51547","51622","51953","52301","52604","52893","54212","54659","55321","56037","716","1.2943","10428.6804","5.3734","546","605","-59","3969","3575","394","211","99","112","560","646","-86","3116","2572","544","283","79","204","497","649","-152","3170","2462","708","246","86","160",,"5.37335481102672",
0,0,"30","1",New South Wales,"11750",Cobar,"4990","4984","4949","4913","4913","4941","4954","4887","4853","4844","4782","4759","4740","4727","4703","4687","4605","4528","4401","4213","4098","4046","4077","4015","-62","-1.5207","45575.3512","0.0881","67","36","31","356","449","-93","20","10","10","74","31","43","299","331","-32","28","8","20","60","34","26","250","354","-104","24","8","16",,"0.0880958652930797",
0,0,"31","1",New South Wales,"11800",Coffs Harbour,"62582","63553","64574","65448","65957","66657","67567","68574","69358","70373","70972","71564","72303","73016","73739","74670","75753","76887","77810","78409","78781","79725","80480","81248","768","0.9543","1173.7435","69.2213","881","758","123","5860","5466","394","809","382","427","827","754","73","4267","4372","-105","1086","299","787","816","764","52","4136","4038","98","942","324","618",,"69.2212566033379",
0,0,"32","1",New South Wales,"12000",Coolamon,"4090","4078","4072","4066","4072","4097","4116","4145","4187","4216","4236","4278","4328","4357","4366","4390","4423","4415","4413","4404","4403","4465","4549","4613","64","1.4069","2430.9037","1.8976","64","52","12","353","309","44","11","5","6","51","46","5","273","205","68","16","5","11","56","47","9","313","267","46","14","5","9",,"1.89764818737986",
0,0,"33","1",New South Wales,"12150",Coonamble,"4797","4690","4578","4476","4394","4305","4253","4233","4223","4224","4226","4194","4168","4134","4091","4051","4023","3976","3923","3871","3833","3825","3860","3871","11","0.285","9916.0535","0.3904","68","42","26","304","344","-40","13","7","6","81","59","22","270","264","6","12","5","7","91","54","37","233","265","-32","11","5","6",,"0.390377078945772",
0,0,"34","1",New South Wales,"12160",Cootamundra-Gundagai,"11397","11357","11292","11248","11256","11254","11201","11168","11230","11274","11308","11312","11313","11305","11302","11291","11306","11324","11362","11393","11390","11403","11423","11424","1","0.0088","3981.4172","2.8693","130","125","5","791","819","-28","68","32","36","119","140","-21","530","555","-25","91","25","66","114","140","-26","579","603","-24","79","28","51",,"2.86933004659748",
0,0,"35","1",New South Wales,"12350",Cowra,"12989","12922","12849","12804","12774","12754","12688","12591","12548","12533","12523","12529","12511","12556","12604","12659","12697","12726","12732","12748","12759","12703","12659","12680","21","0.1659","2808.7821","4.5144","135","185","-50","971","996","-25","36","17","19","145","215","-70","719","727","-8","48","14","34","140","164","-24","731","713","18","43","16","27",,"4.51441213613544",
0,0,"36","1",New South Wales,"12380",Cumberland,"171200","171580","172359","174036","177098","180403","185224","191102","195643","199981","203181","207528","212450","216864","221152","225691","231490","235878","240090","240841","237083","237481","245236","252399","7163","2.9209","72.7496","3469.421","3679","1262","2417","14985","20992","-6007","7494","3506","3988","3474","1247","2227","11410","15696","-4286","12552","2738","9814","3367","1154","2213","12742","15917","-3175","11125","3000","8125",,"3469.42113771072",
0,0,"37","1",New South Wales,"12390",Dubbo,"47176","47162","47060","47025","47038","47148","47315","47849","48466","48949","49079","49397","49757","50322","50847","51404","52490","53575","54358","55010","55528","55893","56548","56997","449","0.794","7534.5251","7.5648","854","488","366","3590","3812","-222","419","198","221","838","479","359","2967","3059","-92","544","156","388","817","515","302","2903","3066","-163","477","167","310",,"7.56477671034635",
0,0,"38","1",New South Wales,"12700",Dungog,"8338","8321","8312","8233","8263","8245","8245","8286","8415","8457","8556","8657","8791","8918","9008","9101","9154","9259","9329","9450","9532","9721","9766","9905","139","1.4233","2249.9983","4.4022","102","62","40","898","759","139","20","10","10","77","96","-19","633","589","44","28","8","20","85","85","0","694","571","123","24","8","16",,"4.40222554834819",
0,0,"39","1",New South Wales,"12730",Edward River,"10074","9958","9798","9603","9440","9287","9228","9110","9072","8973","8888","8913","8929","8962","9012","8991","8847","8728","8657","8547","8437","8456","8429","8411","-18","-0.2135","8883.4463","0.9468","117","101","16","576","603","-27","57","27","30","94","111","-17","441","505","-64","76","22","54","96","107","-11","444","496","-52","67","22","45",,"0.946817227903995",
0,0,"40","1",New South Wales,"12750",Eurobodalla,"33639","34239","34855","35326","35662","35855","36103","36301","36462","36807","37082","37141","37270","37483","37733","37919","38372","38816","39290","39917","40464","40752","40913","41142","229","0.5597","3428.1695","12.0012","352","516","-164","3172","2821","351","192","91","101","343","559","-216","2417","2207","210","238","71","167","317","536","-219","2429","2108","321","204","77","127",,"12.0011568856207",
0,0,"41","1",New South Wales,"12850",Fairfield,"187825","187089","186489","185562","185740","186117","187872","190654","193557","195174","196479","198106","200098","201788","203490","205675","209107","211392","212825","212148","209066","206830","209705","212210","2505","1.1945","101.5072","2090.591","2114","1566","548","9725","14539","-4814","3813","1783","2030","2008","1464","544","7263","9976","-2713","6436","1392","5044","1943","1305","638","7987","10217","-2230","5621","1524","4097",,"2090.59061820245",
