X,Y,id,state_code,state_name,lga_code_2,lga_name_2,erp_2001,erp_2002,erp_2003,erp_2004,erp_2005,erp_2006,erp_2007,erp_2008,erp_2009,erp_2010,erp_2011,erp_2012,erp_2013,erp_2014,erp_2015,erp_2016,erp_2017,erp_2018,erp_2019,erp_2020,erp_2021,erp_2022,erp_2023,erp_2024,erp_change,erp_chan_1,area_km2,pop_densit,births_202,deaths_202,natural_in,internal_a,internal_d,net_intern,overseas_a,overseas_d,net_overse,births_2_1,deaths_2_1,natural__1,internal_1,internal_2,net_inte_1,overseas_1,overseas_2,net_over_1,births_2_2,deaths_2_2,natural__2,internal_3,internal_4,net_inte_2,overseas_3,overseas_4,net_over_2,green_spac,pop_dens_1,Green_Pct
150.0749435,-36.44278369,7,1,New South Wales,10550,Bega Valley,30425,30790,31056,31406,31608,31829,32183,32367,32620,32962,33128,33288,33430,33562,33713,33941,34287,34674,35026,35428,35770,35985,36278,36593,315,0.8683,6278.501299999999901,5.828300000000000,332,379,-47,2422,2240,182,150,70,80,314,375,-61,1869,1653,216,194,56,138,284,386,-102,1969,1689,280,198,61,137,,5.828301731816160,
150.0668158,-36.41391931,7,1,New South Wales,10550,Bega Valley,30425,30790,31056,31406,31608,31829,32183,32367,32620,32962,33128,33288,33430,33562,33713,33941,34287,34674,35026,35428,35770,35985,36278,36593,315,0.8683,6278.501299999999901,5.828300000000000,332,379,-47,2422,2240,182,150,70,80,314,375,-61,1869,1653,216,194,56,138,284,386,-102,1969,1689,280,198,61,137,,5.828301731816160,
150.0726211,-36.46556847,7,1,New South Wales,10550,Bega Valley,30425,30790,31056,31406,31608,31829,32183,32367,32620,32962,33128,33288,33430,33562,33713,33941,34287,34674,35026,35428,35770,35985,36278,36593,315,0.8683,6278.501299999999901,5.828300000000000,332,379,-47,2422,2240,182,150,70,80,314,375,-61,1869,1653,216,194,56,138,284,386,-102,1969,1689,280,198,61,137,,5.828301731816160,
150.0722468,-36.46526701,7,1,New South Wales,10550,Bega Valley,30425,30790,31056,31406,31608,31829,32183,32367,32620,32962,33128,33288,33430,33562,33713,33941,34287,34674,35026,35428,35770,35985,36278,36593,315,0.8683,6278.501299999999901,5.828300000000000,332,379,-47,2422,2240,182,150,70,80,314,375,-61,1869,1653,216,194,56,138,284,386,-102,1969,1689,280,198,61,137,,5.828301731816160,
150.0725418,-36.460644,7,1,New South Wales,10550,Bega Valley,30425,30790,31056,31406,31608,31829,32183,32367,32620,32962,33128,33288,33430,33562,33713,33941,34287,34674,35026,35428,35770,35985,36278,36593,315,0.8683,6278.501299999999901,5.828300000000000,332,379,-47,2422,2240,182,150,70,80,314,375,-61,1869,1653,216,194,56,138,284,386,-102,1969,1689,280,198,61,137,,5.828301731816160,
150.066876,-36.41591905,7,1,New South Wales,10550,Bega Valley,30425,30790,31056,31406,31608,31829,32183,32367,32620,32962,33128,33288,33430,33562,33713,33941,34287,34674,35026,35428,35770,35985,36278,36593,315,0.8683,6278.501299999999901,5.828300000000000,332,379,-47,2422,2240,182,150,70,80,314,375,-61,1869,1653,216,194,56,138,284,386,-102,1969,1689,280,198,61,137,,5.828301731816160,
150.06764,-36.41750929,7,1,New South Wales,10550,Bega Valley,30425,30790,31056,31406,31608,31829,32183,32367,32620,32962,33128,33288,33430,33562,33713,33941,34287,34674,35026,35428,35770,35985,36278,36593,315,0.8683,6278.501299999999901,5.828300000000000,332,379,-47,2422,2240,182,150,70,80,314,375,-61,1869,1653,216,194,56,138,284,386,-102,1969,1689,280,198,61,137,,5.828301731816160,
150.0718851,-36.44780333,7,1,New South Wales,10550,Bega Valley,30425,30790,31056,31406,31608,31829,32183,32367,32620,32962,33128,33288,33430,33562,33713,33941,34287,34674,35026,35428,35770,35985,36278,36593,315,0.8683,6278.501299999999901,5.828300000000000,332,379,-47,2422,2240,182,150,70,80,314,375,-61,1869,1653,216,194,56,138,284,386,-102,1969,1689,280,198,61,137,,5.828301731816160,
150.0743568,-36.42186653,7,1,New South Wales,10550,Bega Valley,30425,30790,31056,31406,31608,31829,32183,32367,32620,32962,33128,33288,33430,33562,33713,33941,34287,34674,35026,35428,35770,35985,36278,36593,315,0.8683,6278.501299999999901,5.828300000000000,332,379,-47,2422,2240,182,150,70,80,314,375,-61,1869,1653,216,194,56,138,284,386,-102,1969,1689,280,198,61,137,,5.828301731816160,
150.0723693,-36.44991453,7,1,New South Wales,10550,Bega Valley,30425,30790,31056,31406,31608,31829,32183,32367,32620,32962,33128,33288,33430,33562,33713,33941,34287,34674,35026,35428,35770,35985,36278,36593,315,0.8683,6278.501299999999901,5.828300000000000,332,379,-47,2422,2240,182,150,70,80,314,375,-61,1869,1653,216,194,56,138,284,386,-102,1969,1689,280,198,61,137,,5.828301731816160,
